manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1001/jama.2017.4078	doi:10.1001/jama.2017.4078	doi:10.1001/jama.2017.4078	OcPf8cNA
doi:10.1007/978-3-319-31204-0_9	doi:10.1007/978-3-319-31204-0_9	doi:10.1007/978-3-319-31204-0_9	12tC5JTV6
doi:10.1016/j.artmed.2013.01.003	doi:10.1016/j.artmed.2013.01.003	doi:10.1016/j.artmed.2013.01.003	L28K8uC0
doi:10.1016/j.jclinepi.2018.07.010	doi:10.1016/j.jclinepi.2018.07.010	doi:10.1016/j.jclinepi.2018.07.010	12qVIypVo
doi:10.1016/j.jclinepi.2019.02.004	doi:10.1016/j.jclinepi.2019.02.004	doi:10.1016/j.jclinepi.2019.02.004	182D7GluU
doi:10.1016/j.resuscitation.2016.02.005	doi:10.1016/j.resuscitation.2016.02.005	doi:10.1016/j.resuscitation.2016.02.005	pDgXOqF0
doi:10.1093/bioinformatics/btz470	doi:10.1093/bioinformatics/btz470	doi:10.1093/bioinformatics/btz470	17a3WKGzu
doi:10.1097/CCM.0000000000002706	doi:10.1097/CCM.0000000000002706	doi:10.1097/ccm.0000000000002706	vEqgIzON
doi:10.1097/EDE.0b013e3181c30fb2	doi:10.1097/EDE.0b013e3181c30fb2	doi:10.1097/ede.0b013e3181c30fb2	2Adg9qeV
doi:10.1371/journal.pone.0194889	doi:10.1371/journal.pone.0194889	doi:10.1371/journal.pone.0194889	OD87V9kB
doi:10.18637/jss.v045.i03	doi:10.18637/jss.v045.i03	doi:10.18637/jss.v045.i03	M2iYoflW
url:https://arxiv.org/abs/1807.00981	url:https://arxiv.org/abs/1807.00981	url:https://arxiv.org/abs/1807.00981	ZbSwTz5q
url:https://hal.archives-ouvertes.fr/hal-00650905/	url:https://hal.archives-ouvertes.fr/hal-00650905/	url:https://hal.archives-ouvertes.fr/hal-00650905/	1iuWTU7i
